USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
www-data  2391  0.0  0.0  34764  6144 ?        S    09:48   0:00 /usr/sbin/apache2 -k start
cluster   2452  0.0  0.0  36736  4012 ?        Sl   09:49   0:00 /usr/lib/deja-dup/deja-dup/deja-dup-monitor
root      2671  0.0  0.0   3252   820 ?        S    18:04   0:00 /sbin/udevd --daemon
root      2672  0.0  0.0   3252   820 ?        S    18:04   0:00 /sbin/udevd --daemon
root      2689  0.0  0.0      0     0 ?        S    18:04   0:00 [kworker/3:1]
lp        2866  0.0  0.0   6228  1376 ?        S    09:56   0:00 /usr/lib/cups/notifier/dbus dbus:// 
root      3078  0.0  0.1  17988  9152 ?        S    10:06   0:00 /usr/bin/python /usr/lib/system-service/system-service-d
cluster   3607  0.2  0.3 295180 30760 ?        Sl   10:39   1:09 /usr/lib/firefox/plugin-container /usr/lib/flashplugin-installer/libflashplayer.so -greomni /usr/lib/firefox/omni.ja -appomni /usr/lib/firefox/browser/omni.ja -appdir /usr/lib/firefox/browser 2308 true plugin
www-data  6256  0.0  0.0   2236   540 ?        S    13:37   0:00 sh -c sudo -u cluster mpiexec -n 4 --hostfile /mpi/desarrollo-paralelas-2014/hostfile  python /mpi/desarrollo-paralelas-2014/shellParallelExplicit.py /mpi/desarrollo-paralelas-2014/web/subidas/ 'plan'
root      6257  0.0  0.0   3772  1624 ?        S    13:37   0:00 sudo -u cluster mpiexec -n 4 --hostfile /mpi/desarrollo-paralelas-2014/hostfile python /mpi/desarrollo-paralelas-2014/shellParallelExplicit.py /mpi/desarrollo-paralelas-2014/web/subidas/ plan
cluster   6259  0.0  0.0   3784  2116 ?        S    13:37   0:00 mpiexec -n 4 --hostfile /mpi/desarrollo-paralelas-2014/hostfile python /mpi/desarrollo-paralelas-2014/shellParallelExplicit.py /mpi/desarrollo-paralelas-2014/web/subidas/ plan
cluster   6260  0.0  0.2 103804 17524 ?        S    13:37   0:00 python /mpi/desarrollo-paralelas-2014/shellParallelExplicit.py /mpi/desarrollo-paralelas-2014/web/subidas/ plan
cluster   6261  9.8  0.1  99364 14396 ?        R    13:37  29:38 python /mpi/desarrollo-paralelas-2014/shellParallelExplicit.py /mpi/desarrollo-paralelas-2014/web/subidas/ plan
cluster   6262  9.8  0.1  99360 14388 ?        R    13:37  29:41 python /mpi/desarrollo-paralelas-2014/shellParallelExplicit.py /mpi/desarrollo-paralelas-2014/web/subidas/ plan
cluster   6263  9.7  0.1  99364 14396 ?        R    13:37  29:28 python /mpi/desarrollo-paralelas-2014/shellParallelExplicit.py /mpi/desarrollo-paralelas-2014/web/subidas/ plan
www-data  6282  0.0  0.0  34632  5864 ?        S    13:37   0:00 /usr/sbin/apache2 -k start
www-data  6288  0.0  0.0   2236   544 ?        S    13:37   0:00 sh -c sudo -u cluster mpiexec -n 4 --hostfile /mpi/desarrollo-paralelas-2014/hostfile  python /mpi/desarrollo-paralelas-2014/shellParallelExplicit.py /mpi/desarrollo-paralelas-2014/web/subidas/ 'plan'
root      6289  0.0  0.0   3772  1624 ?        S    13:37   0:00 sudo -u cluster mpiexec -n 4 --hostfile /mpi/desarrollo-paralelas-2014/hostfile python /mpi/desarrollo-paralelas-2014/shellParallelExplicit.py /mpi/desarrollo-paralelas-2014/web/subidas/ plan
